Sample,Deposit_group,Depth,Ag,Ag.2.Sigma,Al,Al.2.Sigma,As,As.2.Sigma,Au,Au.2.Sigma,Ba,Ba.2.Sigma,Bal,Bal.2.Sigma,Bi,Bi.2.Sigma,Ca,Ca.2.Sigma,Cd,Cd.2.Sigma,Ce,Ce.2.Sigma,Cl,Cl.2.Sigma,Co,Co.2.Sigma,Cr,Cr.2.Sigma,Cu,Cu.2.Sigma,Fe,Fe.2.Sigma,Hf,Hf.2.Sigma,K,K.2.Sigma,La,La.2.Sigma,Mg,Mg.2.Sigma,Mn,Mn.2.Sigma,Mo,Mo.2.Sigma,Nb,Nb.2.Sigma,Nd,Nd.2.Sigma,Ni,Ni.2.Sigma,P,P.2.Sigma,Pb,Pb.2.Sigma,Pr,Pr.2.Sigma,Rb,Rb.2.Sigma,Re,Re.2.Sigma,S,S.2.Sigma,Sb,Sb.2.Sigma,Sc,Sc.2.Sigma,Se,Se.2.Sigma,Si,Si.2.Sigma,Sn,Sn.2.Sigma,Sr,Sr.2.Sigma,Ta,Ta.2.Sigma,Th,Th.2.Sigma,Ti,Ti.2.Sigma,U,U.2.Sigma,V,V.2.Sigma,W,W.2.Sigma,Y,Y.2.Sigma,Zn,Zn.2.Sigma,Zr,Zr.2.Sigma
LosArroyos2.2_superficie,LosArroyos,superficie,0,3.7614,51424.7383,1485.7535,0,4.9833,0,8.8056,0,50.1504,796000.75,2984.0393,0,3.6509,1409.1667,54.4631,0,8.7983,0,74.1469,0,60.4736,142.9645,77.9874,0,806.343,81.7175,7.9961,57025.6719,232.2093,0,0,652.7548,148.7437,171.4293,28.306,0,3779.332,1383.4987,355.7621,0,2.7982,20.5829,1.6139,0,116.623,118.5659,13.9224,3029.9624,278.0265,31.6893,2.4427,0,78.9585,7.7008,1.4678,0,0,0,102.163,0,13.4993,0,109.7158,0,2.471,81160.3516,702.0518,0,9.5303,444.4909,2.9119,0,0,7.5827,1.5898,5854.5005,1030.1133,5.1129,2.5116,295.9385,155.9061,0,35.8665,233.729,3.1573,261.8819,9.4947,235.2132,3.238
LosArroyos2.2_superficie,LosArroyos,superficie,0,3.9159,46405.4883,1590.4567,0,4.8742,0,9.0464,0,53.4695,810818,2935.5034,0,3.5856,1243.7177,49.5232,0,5.8677,0,84.7903,0,67.5058,145.7346,78.3279,0,755.3627,72.3736,7.9858,53391.3789,232.7305,0,0,506.4759,133.8675,211.3345,30.1561,0,3517.3518,1174.4785,366.6582,0,2.8614,18.3844,1.6302,0,124.2576,119.1632,14.3052,2834.0715,291.4847,27.4353,2.4163,0,84.3087,7.3472,1.5397,0,0,0,108.7051,10.812,5.6426,0,92.7397,0,2.474,76242.8047,743.0636,0,10.1123,420.3466,2.9064,0,0,10.0798,1.6621,5335.0044,945.6752,8.4588,2.637,268.5494,142.7675,28.5993,11.6461,226.4722,3.1907,248.939,9.5467,224.5699,3.2492
LosArroyos2.2_superficie,LosArroyos,superficie,0,3.9001,45953.2109,1608.3481,0,4.8755,0,8.855,0,52.7729,811381.9375,3378.9841,0,3.4755,1220.0231,49.9335,0,5.8182,0,70.2516,0,66.6459,109.6103,74.9682,0,705.9911,76.1863,7.7698,53089.1133,223.1957,0,0,553.3664,139.6107,200.0026,29.7772,0,4552.7046,1297.0565,346.1521,0,2.7832,18.9026,1.5699,0,122.5367,119.0655,13.6157,3130.6323,296.7269,31.2847,2.4081,0,82.9063,9.2853,1.467,0,0,0,106.1681,0,13.7873,0,123.787,0,2.3198,75884.625,742.8418,0,9.961,418.949,2.7915,0,0,9.4659,1.5925,5550.3262,961.8259,4.8656,2.4386,240.3602,145.2849,0,0,229.821,3.0923,248.1216,9.1043,223.8403,3.1198
LosArroyos2.2_superficie,LosArroyos,superficie,0,3.9993,43859.9727,1619.2098,0,4.8827,0,8.2621,0,54.3321,816188.6875,3022.7783,0,3.2003,1214.4414,48.3293,0,5.9781,78.2999,34.4931,0,68.006,121.615,75.5574,0,712.0657,75.1286,7.8959,51811.6758,224.452,0,0,591.8983,136.9897,212.257,30.6866,0,3710.9119,1153.7805,353.0289,0,2.7322,18.1226,1.5608,0,126.753,127.5802,14.1052,2811.9412,308.8283,31.4959,2.4462,0,85.6709,9.1273,1.4466,0,0,0,110.4609,0,13.9774,0,89.4896,0,2.344,75129.5547,755.3562,0,10.3281,414.1392,2.8158,0,0,8.8584,1.5187,5185.2627,913.5002,0,7.4843,264.6187,138.2688,0,29.8264,229.1009,3.1318,243.4796,9.2235,219.0169,3.1347
LosArroyos2.2_superficie,LosArroyos,superficie,0,4.3724,40947.5312,1829.9388,0,4.807,0,9.1401,0,58.7454,819538.125,3570.0344,0,3.5433,1251.1329,48.5475,0,6.7749,0,74.1121,0,85.0105,0,202.548,0,696.2966,76.4428,8.2009,52781.8438,230.3224,0,0,561.7557,139.9115,148.2399,33.0681,0,4531.1265,1211.1967,360.7221,0,2.7463,16.8161,1.5419,0,136.4245,117.1807,14.8363,2948.895,339.8014,24.9265,2.3709,0,92.3568,8.1953,1.4403,0,0,0,129.7335,0,12.2423,0,85.0432,0,2.5428,74663.1875,810.8229,0,11.0764,363.9979,2.7227,0,0,7.5429,1.5673,4452.2793,864.6949,0,7.1561,249.6483,130.777,0,26.2212,197.4527,3.0085,236.3386,9.3843,197.3038,3.0656
LosArroyos2.2_superficie,LosArroyos,superficie,0,4.1759,43966.957,1939.6383,0,4.7259,0,8.7612,0,54.6431,815135.875,3589.9866,0,3.6419,1265.8281,48.201,0,6.0349,0,68.9127,0,88.2021,0,175.6104,0,689.4882,81.238,7.9927,53525.418,223.1641,0,0,501.0261,134.2932,159.8782,30.7955,0,4434.4219,1256.5587,358.4378,0,2.6295,16.6703,1.4758,0,126.7438,122.7177,14.2846,3085.3735,352.6495,28.657,2.3595,0,85.8948,9.1521,1.3896,0,0,0,135.3517,0,14.7685,0,84.5958,0,2.3479,75054.0859,840.2734,0,10.2126,361.684,2.6066,0,0,7.1296,1.5593,4536.1807,861.6669,0,6.0699,255.3243,130.0558,0,0,195.8711,2.8807,240.0761,9.0201,194.2802,2.9262
LosArroyos2.2_superficie,LosArroyos,superficie,0,4.0803,43864.2852,1521.796,0,4.9653,0,8.2396,0,54.851,819529.8125,2955.2871,0,3.5287,1261.8997,52.4372,0,5.9945,0,69.6164,0,65.3827,227.5517,76.6667,0,761.2382,78.8192,7.9743,52417.7773,226.4603,0,0,412.3245,133.8805,177.5038,30.8968,0,3688.4741,1162.7134,355.3064,0,2.8011,15.9271,1.5856,0,127.6673,96.1453,13.6431,2884.7844,289.1444,29.9696,2.4281,0,86.1982,7.961,1.4718,0,0,0,102.0619,0,11.3949,0,101.0179,0,2.3736,71407.7891,704.7482,0,10.267,434.4763,2.8965,0,0,8.1953,1.5797,4977.3315,970.533,4.7283,2.505,277.2163,146.5697,0,22.0826,239.0635,3.2086,258.3233,9.5092,225.4219,3.1995
LosArroyos2.2_superficie,LosArroyos,superficie,0,4.0684,43304.6328,1537.5803,0,4.7696,0,8.8118,0,55.8344,820936.9375,2948.3611,0,3.5136,1237.1932,49.71,0,6.1148,0,70.618,0,65.6887,313.7613,74.5969,0,697.7039,68.7083,7.499,51142.6367,219.6695,0,0,537.3369,136.0834,152.1368,31.4614,0,3703.8308,1169.5685,343.5729,0,2.7383,17.4415,1.5459,0,129.8053,91.0045,13.2949,2728.3782,294.0221,32.2575,2.418,0,87.6518,7.9816,1.4339,0,0,0,106.7945,0,11.6712,0,95.006,0,2.3238,71586.6172,719.675,0,10.5266,428.2851,2.8079,0,0,8.568,1.5735,5251.0957,931.3043,4.5157,2.4316,281.1941,141.098,0,0,228.2238,3.0663,247.6159,9.0577,223.901,3.1112
LosArroyos2.2_superficie,LosArroyos,superficie,0,4.1587,42225.3984,1635.4122,0,4.847,0,8.9877,0,55.5075,821673.9375,3147.8777,0,3.6122,1235.8672,51.2449,0,6.0334,84.2648,35.119,0,70.6094,219.6564,76.4765,333.3475,224.7996,66.5403,7.6874,51751.5859,224.9776,0,0,589.3285,145.5531,266.9513,31.3765,0,3952.7661,1135.5145,352.4535,0,2.8126,15.944,1.5732,0,129.3273,106.2874,13.922,2931.3188,307.1731,29.9005,2.4378,0,87.5541,7.3312,1.4872,0,0,0,111.7102,0,15.3678,0,95.397,0,2.4208,71184.0078,744.1038,0,10.4235,415.7599,2.8395,0,0,9.0284,1.6259,4716.5649,973.1086,6.7513,2.5409,299.4786,146.9431,0,21.1888,226.1171,3.1321,244.9093,9.3029,224.2005,3.1848
LosArroyos2.2_superficie,LosArroyos,superficie,0,3.742,72033.0547,1473.1813,0,5.5902,0,9.0651,0,49.6205,748105.75,2862.9919,0,3.6087,1613.8276,62.5666,0,8.1135,0,62.5786,0,53.1074,144.6898,85.4932,0,979.0011,103.0311,8.7351,70266.2266,258.2549,0,0,835.3214,170.3951,122.7244,27.8876,0,3363.6396,1635.718,367.8011,0,2.99,19.4958,1.7057,0,114.8674,159.0729,15.2941,3322.1841,256.2005,41.3848,2.7229,0,77.9162,8.1557,1.6417,0,0,0,143.2327,7.491,5.2331,0,117.5197,0,2.507,93141.9844,692.7135,0,9.3754,518.4824,3.2273,0,0,10.7475,1.7057,6690.5039,1188.3781,11.3411,2.8478,350.0763,179.668,0,25.1866,262.9914,3.43,342.8358,10.9418,252.8396,3.4751
