sampleid,toc,roc,tic,ag,al,arsenic,ba,be,ca,cd,co,cr,cu,fe,k,mg,mn,mo,ni,p,pb,sb,se,sr,ti,tl,v,zn
Acetillar1_profundoA,2740,1830,8850,2.9703,99300,15.84158,54.45545,5.94059,28923.76238,62.37624,127.72277,355.44554,345.54455,100113.8614,72.27723,140.59406,8064.35644,0,619.80198,296.0396,46.53465,8.91089,6.93069,6.93069,1621.78218,5.94059,215.84158,391.08911
Acetillar1_profundoB,2570,1650,10420,2.9703,85719.80198,17.82178,42.57426,5.94059,34443.56436,67.32673,101.9802,316.83168,307.92079,97492.07921,90.09901,148.51485,6914.85149,0.9901,561.38614,284.15842,42.57426,8.91089,2.9703,7.92079,1634.65347,6.93069,214.85149,365.34653
Acetillar1_profundoC,2570,1790,10370,3.00601,134046.0922,19.03808,65.13026,7.01403,28757.51503,64.12826,198.39679,441.88377,549.0982,105873.7475,88.17635,154.30862,11155.31062,0,782.56513,407.81563,46.09218,11.02204,4.00802,8.01603,1828.65731,9.01804,242.48497,501.002
Acetillar1_superficieA,3400,1540,2400,2.98211,83889.66203,18.88668,35.78529,8.94632,6718.68787,50.69583,80.5169,318.09145,294.23459,104442.3459,99.40358,119.28429,6007.95229,0,550.69583,380.71571,42.74354,10.93439,0.99404,3.97614,1867.79324,11.92843,237.57455,335.9841
Acetillar1_superficieB,3490,1740,2290,1.99203,98985.05976,23.90438,30.87649,8.96414,17683.26693,58.76494,71.71315,347.60956,259.96016,106424.3028,124.50199,146.41434,5182.27092,0.99602,541.83267,385.45817,43.8247,14.94024,5.9761,5.9761,1869.52191,7.96813,232.07171,385.45817
Acetillar1_superficieC,3260,1450,4890,2.98211,91756.46123,17.89264,41.7495,7.95229,6960.23857,54.67197,107.35586,319.08549,310.13917,104346.9185,86.48111,121.27237,6463.22068,0,573.55865,336.97813,44.73161,10.93439,5.96421,3.97614,1717.69384,9.94036,217.69384,336.97813
Acetillar2_BottomA,2080,1230,1280,4,57039,21,190,4,208,26,345,239,745,96988,38,63,19557,0,1164,389,43,10,6,6,1624,16,178,646
Acetillar2_BottomB,2390,1210,1270,4.97018,124374.7515,23.85686,153.08151,3.97614,240.55666,32.80318,349.9006,393.63817,888.66799,99229.62227,65.60636,93.43936,23196.81909,0,1339.96024,576.54076,42.74354,11.92843,11.92843,9.94036,1686.87873,16.89861,190.85487,775.34791
Acetillar2_BottomC,2160,1220,1290,3.96825,76690.47619,16.86508,153.76984,4.96032,217.2619,27.77778,317.46032,279.7619,714.28571,100034.7222,80.35714,74.40476,19362.10317,0.99206,1228.1746,442.46032,41.66667,12.89683,11.90476,6.94444,1537.69841,15.87302,176.5873,686.50794
Acetillar2_MiddleA,2150,1200,1240,5,96459,21,220,8,794,144,309,378,977,144507,67,105,22568,0,1442,396,64,13,13,6,2263,19,289,926
Acetillar2_MiddleB,2130,1240,1280,2.98211,123412.5249,19.88072,125.24851,5.96421,521.86879,103.37972,142.14712,403.57853,477.13718,105664.0159,54.67197,101.39165,12517.89264,0,862.82306,430.4175,44.73161,10.93439,8.94632,5.96421,1755.4672,12.92247,215.70577,610.33797
Acetillar2_MiddleC,2070,1230,1290,3.99202,77027.94411,18.96208,170.65868,5.98802,500,104.79042,175.6487,299.4012,530.93812,109279.4411,24.9501,83.83234,14630.73852,0,968.06387,320.35928,53.89222,8.98204,0.998,3.99202,1708.58283,10.97804,223.55289,658.68263
Acetillar2_TopA,2520,1490,1470,3.01811,105484.9095,24.14487,60.36217,40.24145,2464.78873,50.30181,68.41046,358.14889,526.15694,109157.9477,57.34406,119.71831,8019.11469,1.00604,1045.27163,657.94769,60.36217,8.04829,2.01207,3.01811,1905.4326,26.15694,258.55131,968.81288
Acetillar2_TopB,2780,1550,1400,4.00802,149687.3748,31.06212,97.19439,57.11423,3500,74.1483,105.21042,517.03407,856.71343,157147.2946,106.21242,174.3487,12627.25451,3.00601,1617.23447,997.99599,97.19439,13.02605,6.01202,10.02004,2797.59519,36.07214,387.77555,1425.8517
Acetillar2_TopC,2690,1390,1520,4.00802,64513.02605,24.0481,72.14429,47.09419,2413.82766,55.11022,88.17635,276.55311,699.3988,108318.6373,50.1002,99.1984,10951.90381,2.00401,1366.73347,669.33868,72.14429,4.00802,8.01603,3.00601,1768.53707,35.07014,275.5511,1247.49499
AguasNegras10.1_profundoA,22700,3210,1420,4.01606,106219.8795,9.03614,111.44578,3.01205,3711.84739,21.08434,32.12851,74.29719,253.01205,30140.56225,637.5502,1901.60643,13477.91165,1.00402,168.6747,17314.25703,11.04418,6.0241,11.04418,199.7992,286.14458,8.03213,58.23293,444.77912
AguasNegras10.1_profundoB,26230,3450,1410,4,104751,10,106,2,4608,21,33,75,253,30308,593,1868,13137,1,167,17441,11,2,14,200,282,7,59,436
