"sampleid","ce","dy","er","eu","gd","ho","la","lu","nd","pr","sc","sm","th","tb","tm","y","yb"
"Acetillar2_BottomA",90,52,107,2,34,29,30,16,83,41,37,0,125,13,11,932,100
"Acetillar2_BottomB",121.27237,56.66004,109.34394,2.98211,38.7674,30.81511,36.77932,15.90457,101.39165,43.73757,42.74354,0,133.2008,12.92247,10.93439,1036.77932,101.39165
"Acetillar2_BottomC",108.13492,55.55556,113.09524,2.97619,36.70635,30.75397,32.7381,15.87302,89.28571,44.64286,40.6746,0,136.90476,13.88889,11.90476,1068.45238,102.18254
"Avila1.1_superficieC",163.9839,55.33199,21.12676,7.04225,33.1992,4.02414,173.03823,5.03018,182.09256,61.36821,47.2837,17.10262,126.76056,8.04829,2.01207,308.85312,18.10865
"Avila1.2_profundoA",171.28713,58.41584,22.77228,7.92079,35.64356,2.9703,180.19802,4.9505,191.08911,66.33663,49.50495,18.81188,131.68317,7.92079,1.9802,335.64356,19.80198
"Avila1.2_profundoB",154.45545,53.46535,20.79208,6.93069,32.67327,1.9802,161.38614,4.9505,173.26733,58.41584,47.52475,16.83168,125.74257,6.93069,1.9802,307.92079,17.82178
"Avila1.2_profundoC",182.53968,60.51587,23.80952,7.93651,37.69841,1.98413,189.48413,4.96032,202.38095,65.47619,51.5873,19.84127,137.89683,7.93651,1.98413,351.19048,19.84127
"Avila1.2_superficieA",146.8254,49.60317,18.84921,5.95238,29.7619,1.98413,152.77778,3.96825,161.70635,54.56349,42.65873,15.87302,114.0873,5.95238,1.98413,283.73016,16.86508
"Acetillar1_profundoA",162.37624,59.40594,66.33663,31.68317,155.44554,17.82178,55.44554,10.89109,246.53465,63.36634,43.56436,90.09901,134.65347,27.72277,20.79208,741.58416,55.44554
"Acetillar1_profundoB",148.51485,58.41584,64.35644,31.68317,164.35644,19.80198,53.46535,9.90099,238.61386,60.39604,40.59406,91.08911,127.72277,28.71287,21.78218,715.84158,54.45545
"Acetillar1_profundoC",167.33467,64.12826,70.14028,35.07014,172.34469,21.04208,63.12625,11.02204,262.52505,71.14228,46.09218,94.18838,138.27655,31.06212,23.04609,770.54108,61.12224
"Acetillar1_superficieA",144.13519,65.60636,81.51093,41.7495,193.83698,24.85089,54.67197,11.92843,271.37177,84.49304,42.74354,125.24851,140.15905,32.80318,25.84493,992.04771,65.60636
"Acetillar1_superficieB",143.42629,66.73307,77.68924,46.81275,226.09562,22.90837,57.76892,10.95618,288.84462,87.6494,41.83267,140.43825,137.4502,35.85657,30.87649,959.16335,62.749
"Acetillar1_superficieC",159.04573,62.62425,72.56461,31.80915,166.00398,21.86879,60.63618,10.93439,254.47316,76.54076,42.74354,91.45129,137.17694,28.82704,22.86282,853.87674,60.63618
"Acetillar2_MiddleA",114,47,63,15,79,18,31,10,98,44,36,26,118,18,10,851,60
